RecordID,BootsName,BootsMaterial,BootsBrand,BootsPack,BootsType,BootsPosition,BootsTopPlayers
8,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi
9,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi
12,F50 Adizero,Synthetic,adidas,null,Speed,Attack,Jordi Alba
17,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi
18,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham
22,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi
23,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi
26,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi
28,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi
29,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham
34,X Speedflow.1,Synthetic,adidas,Sapphire Edge,Speed,Attack,Lionel Messi
38,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi
40,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi
42,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham
49,Copa Pure+,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala
51,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala
55,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala
56,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi
57,Predator Accuracy.1,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham
58,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala
59,Copa Sense.1,K-Leather,adidas,null,Control,Midfield,Paulo Dybala
63,X Ghosted.1,Synthetic,adidas,null,Speed,null,Lionel Messi
64,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi
67,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi
69,X Speedflow+,null,adidas,Sapphire Edge,Speed,null,Lionel Messi
73,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi
74,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi
75,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham
77,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi
80,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi
82,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala
84,Copa 20.1,Fusionskin,adidas,null,Control,Midfield,Paulo Dybala
85,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi
86,Predator Freak.1 Low,null,adidas,null,Control,null,Jude Bellingham
87,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala
88,Predator Accuracy.1,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham
89,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi
90,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi
94,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi
96,Nemeziz.1,Knit,adidas,null,Agility,Attack,Evan Ferguson
97,X Speedflow.1,Synthetic,adidas,Diamond Edge,Speed,Attack,Lionel Messi
100,Copa Sense.1,K-Leather,adidas,Diamond Edge,Control,Midfield,Paulo Dybala
101,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi
111,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi
115,X Speedflow.1,Synthetic,adidas,Diamond Edge,Speed,Attack,Lionel Messi
119,X Speedflow.1,Synthetic,adidas,Diamond Edge,Speed,Attack,Lionel Messi
120,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham
125,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi
128,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi
131,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi
133,Predator Accuracy+,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham
134,Copa 20.1,Fusionskin,adidas,null,Control,Midfield,Paulo Dybala
135,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala
140,Copa 20.1,Fusionskin,adidas,null,Control,Midfield,Paulo Dybala
154,Predator Accuracy.1,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham
155,X Speedflow.1,Synthetic,adidas,Diamond Edge,Speed,Attack,Lionel Messi
158,X Speedflow.1,Synthetic,adidas,Diamond Edge,Speed,Attack,Lionel Messi
160,X Speedportal.1,Speedskin,adidas,Game Data,Speed,Attack,Lionel Messi
165,Nemeziz.1,Knit,adidas,null,Agility,Attack,Evan Ferguson
168,Predator Freak.1 Low,null,adidas,null,Control,null,Jude Bellingham
170,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi
171,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi
172,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala
173,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham
174,X 19.1,Synthetic,adidas,null,Speed,Attack,Lionel Messi
178,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi
187,X Speedportal.1,Speedskin,adidas,Game Data,Speed,Attack,Lionel Messi
190,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala
194,X Speedportal.1,Speedskin,adidas,Game Data,Speed,Attack,Lionel Messi
199,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham
200,X Speedflow.1,Synthetic,adidas,Diamond Edge,Speed,Attack,Lionel Messi
