RecordID,ClubName,League/Country,PlayerName,PlayerPosition,PlayerNationality,PlayerMarketValue
8,VfL Wolfsburg,Bundesliga,Jakub Kaminski,Left Winger,Poland,10
9,VfL Wolfsburg,Bundesliga,Dzenan Pejcinovic,Center Forward,Germany,1
12,VfL Wolfsburg,Bundesliga,Lukas Nmecha,Center Forward,Germany,18
17,VfL Wolfsburg,Bundesliga,Yannick Gerhardt,Central Midfielder,Germany,6
18,VfL Wolfsburg,Bundesliga,Josuha Guilavogui,Defensive Midfielder,France,3
22,VfL Wolfsburg,Bundesliga,Nicolas Cozza,Left Back,France,5
23,VfL Wolfsburg,Bundesliga,Paulo Otavio,Left Back,Brazil,7
26,VfL Wolfsburg,Bundesliga,Sebastiaan Bornauw,Center Back,Belgium,9
28,VfL Wolfsburg,Bundesliga,Ridle Baku,Right Back,Germany,13
29,VfL Wolfsburg,Bundesliga,Philipp Schulze,Goalkeeper,Germany,0
34,union Berlin,Bundesliga,Kevin Behrens,Center Forward,Germany,1
38,union Berlin,Bundesliga,Jordan,Center Forward,united States,10
40,union Berlin,Bundesliga,Aossa Laodouni,Central Midfielder,Tunisia,4
42,union Berlin,Bundesliga,Rani Khedira,Defensive Midfielder,Germany,8
49,union Berlin,Bundesliga,Christopher Trimmel,Right Back,Austria,1
51,union Berlin,Bundesliga,Timo Baumgartl,Center Back,Germany,5
55,union Berlin,Bundesliga,Paul Jaeckel,Center Back,Germany,8
56,union Berlin,Bundesliga,Josip Juranovic,Right Back,Croatia,9
57,union Berlin,Bundesliga,Lennart Grill,Goalkeeper,Germany,1
58,union Berlin,Bundesliga,Frederik Runnow,Goalkeeper,Denmark,4
59,union Berlin,Bundesliga,Jakob Busk,Goalkeeper,Denmark,0
63,VfB Stuttgart,Bundesliga,Luca Pfeiffer,Center Forward,Germany,3
64,VfB Stuttgart,Bundesliga,Serhou Guirassy,Center Forward,Guinea,10
67,VfB Stuttgart,Bundesliga,Juan Jose Perea,Center Forward,Colombia,2
69,VfB Stuttgart,Bundesliga,Silas,Right Winger,Congo Dr,13
73,VfB Stuttgart,Bundesliga,Enzo Millot,Central Midfielder,France,3
74,VfB Stuttgart,Bundesliga,Lilian Egloff,Attacking Midfielder,Germany,2
75,VfB Stuttgart,Bundesliga,Genki Haraguchi,Attacking Midfielder,Japan,2
77,VfB Stuttgart,Bundesliga,Atakan Karazor,Defensive Midfielder,Germany,5
80,VfB Stuttgart,Bundesliga,Josha Vagnoman,Right Back,Germany,4
82,VfB Stuttgart,Bundesliga,Pascal Stenzel,Right Back,Germany,2
84,VfB Stuttgart,Bundesliga,Borna Sosa,Left Back,Croatia,20
85,VfB Stuttgart,Bundesliga,Konstantinos Mavropanos,Center Back,Greece,15
86,VfB Stuttgart,Bundesliga,Florian Schock,Goalkeeper,Germany,0
87,VfB Stuttgart,Bundesliga,Fabian Bredlow,Goalkeeper,Germany,1
88,VfB Stuttgart,Bundesliga,Florian Mnller,Goalkeeper,Germany,3
89,Schalke 04,Bundesliga,Sebastian Polter,Center Forward,Germany,2
90,Schalke 04,Bundesliga,Marius Bnlter,Left Winger,Germany,3
94,Schalke 04,Bundesliga,Kenan Karaman,Center Forward,Turkey,1
96,Schalke 04,Bundesliga,Dominick Drexler,Attacking Midfielder,Germany,1
97,Schalke 04,Bundesliga,Niklas Tauer,Defensive Midfielder,Germany,2
100,Schalke 04,Bundesliga,Danny Latza,Central Midfielder,Germany,1
101,Schalke 04,Bundesliga,Tom Krauß,Central Midfielder,Germany,6
111,Schalke 04,Bundesliga,Henning Matriciani,Center Back,Germany,1
115,Schalke 04,Bundesliga,Timothee Kolodziejczak,Center Back,France,2
119,Schalke 04,Bundesliga,Michael Langer,Goalkeeper,Austria,0
120,Schalke 04,Bundesliga,Ralf Fahrmann,Goalkeeper,Germany,0
125,Borussia Munchengladbach,Bundesliga,Alassane Plea,Left Winger,France,15
